LongTime,,,,,,,,,
Client,Mostafa,,,,,,,,
Status,Active,,,,,,,,
Currency,EGP,,,,,,,,
Total Cost,44250.00 EGP,,,,,,,,
Delivered,31250.00 EGP,,,,,,,,
Done/Review,1200.00 EGP,,,,,,,,
Pending,11800.00 EGP,,,,,,,,
,,,,,,,,,
#,Title,Description,Cost (EGP),Status,Priority,Date,Deadline,Est. Hours,Logged Hours
1,متطلبات lonetimelt,"الصفحات:
-الرئيسية وتبقا حاجه جامده زي اللي بعتها
-المنتجات: وفيها نعمل اقسام وكل قسم يحتوي ع منتجات وكل منتج نقدر نحطله صوره او اكتر تبقا صفحة مخصصه له فيها الصور وبيانات مكتوبة من دون السعر مش بنعرض اسعار  (صفحة المنتجات دي عايزين نربطها بتطبيق الفون تظهر للبشر اللي هما تجار معانا وتظهر للناس العاديين منغير تسجيل (خازوق بين السطور ده )
-صفحة من نحن وفيها كلام وصور
صفحة التجار المعتمدون وفيها ليسة بالتجار تحتوي على :اسم التاجر وعنوانه مكتوب واللوكيشن يودي ع جوجل ماب ورقم التواصل (وتبقا الصفحة عموما متقسمه لمحافظات اول م حد يدخل يختار المحافظة ويعرضله العالم اللي فيها)
-صفحة تواصل معنا وفيها بيانات التواصل بتاعنا واللوكيشن وكده",2000,Pending,🟡 Medium,2026-03-30,—,0,0
2,ربط الية الصلاحيات في تطبيق الموبايل نفس الاليه في تطبيق الديسكتوب,,1200,Pending,🟡 Medium,2026-03-30,—,0,0
3,اضافة زر لستة الاسعار في تطبيق الموبايل,"يعرض ملف pdf مرسل في الشات يوم ٣/٢٦ الساعه 
06:02 PM",0,Pending,🟡 Medium,2026-03-29,—,0,0
4,تعديل الية بونص المشرفين لأليه مرسله في الشات,مع تعديل شكل التقرير,0,Pending,🟡 Medium,2026-03-29,—,0,0
5,بناء محرر قالب للفاتوره للتحكم في شكلها,,1000,Pending,🟡 Medium,2026-03-29,—,0,0
6,بوت واتساب AI,"القسم الأول (عملاء شغالين):

تعريف العميل بأرقام مسجلة (ممكن أكثر من رقم)
AI Agent يسأل ويرد تلقائي من الداتابيز
وظائف: فواتير شهر / آخر فاتورة / كشف حساب / مديونية / عمليات دفع
القسم الثاني (عملاء عاديين/استفسارات):

AI يرد على أسئلة عامة
ترشيح أقرب تاجر حسب موقع العميل (يحتاج lat/long)",3500,In Progress,🟡 Medium,2026-03-20,—,0,0
7,صلاحيات الموظفين علي الفون,"→ 👑 مدير عام (عمر - عمر): يشوف (الرئيسية، المشرفين، المندوبين، العملاء، الفواتير، المدفوعات). الفواتير والمدفوعات تكون بـ الديفولت للشهر الحالي. (مخصصة عشان ميزات الآدمن متظهرش ليهم لاحقاً).	
→ 🏢 مدير عام المبيعات: متاح حالياً بس محتاج تظبيط إجمالي المدفوعات في صفحة المدفوعات.	
→ 💼 مسؤول مبيعات (أحمد عبدالحفيظ): الرئيسية فاضية (مفيش رصيد عملاء)، يشوف الفواتير فقط، ومفيش إشعارات.	
→ 👥 مشرف (محمود عبود): عنده حسابين (محمود عبود + عبود جديد) محتاجين يدمجوا في لوجن واحد ويختار البروفايل من جوه.",500,Delivered,🟡 Medium,2026-03-18,—,0,0
8,اضافة امكانية تعديل الusername للحسابات بتاعت الموبايل,,500,Review,🟡 Medium,2026-03-15,—,0,0
9,"جميع نقاط فيديو تحسينات ١,٢","١- التلت حاجات هيبقا لكل حاجه منهم صفحه منفصله و هيتضافو في الصفحة الرئيسيه ازرار ليهم و هنشيل زر الاعدادات

٢-في فاتورة البيع محتاجين نصغر العرض بتاع خانة البحث عن المنتج و نضيف جمبها خانة العميل و هنشيل الدروب داون الي حمب خانة البحث و مكانها هيظهر الرصيد الحالي للعميل المختار 

٣- مكان التابس بتاعت فاتورة بيع و فاتورة مرتجع هنحط تاريخ الفاتوره تحتها ملاحظات و تحتها نوع السعر و تحتها الخصم بحيث نقلل السكرول و هنخفي طريقة الدفع تبقا دايما متحدد فيها اجل و هنشيل زر إلغاء 

٤- عند البحث علي منتج لما يضغط علي المنتج مايفتحش ديالوج الكميه هو لما يضغط علي المنتج التطبيق تلقائي يبقا منتظر منه الكميه يكتبها و يدوس انتر و بعدها يكون قادر علي ادخال المنتج الي بعده بحيث يكون في سرعه في ادخال البيانات و عايزين نلغي من الكميه في الجدول بتاع المنتجات عند انشاء الفاتوره ازرار +- و نخلي الinput بتاع الكمبيه ملغي غير قابل للتعديل لو حب يعدل يضغط عليه مرتين و بعد مايعدل و يضغط انتر يرجع تاني غير قابل للتعديل

٥- الجدول بتاع المنتجات عند انشاء فاتوره هنعدل اعمدته و هيبقا فيه رقم الصنف، الكمبيه بنفس الاليه في النقطه السابقه، كود الصنف، اسم الصنف، السعر و يبقا بنقس الية الكميه بردو، الاجمالي، الخصم، النهائي، العدد في الكرتونه و خلي صف لون و صف لون عشان يبقا المراحعه سهله و عايزين النزول بالأسم سهل في الجدول

٦- لما اضغط علي منتج في صفحة المنتجات يفتح صفحه فيها حركة المنتج يبقا جدول فيه سجل كامل بكل مبيعات المنتج دا لكل عميل طلع منه كميه قد اي و رجع منه كميه قد اي و رقم الفاتوره لكل كميه و اجمالي السعر الي طلع بيه المنتج للعميل في الفاتوره دي

٧- عند صفحة العملاء عند الضغط علي عميل عايزه يفتح صفحه شبه ملف كشف الحساب يكون نازل فيه كل الحركات بالترتيب بالتفاصيل و عند الضغط علي كل عميله يفتح تحتيه تفاصيلها او في ديالوج و عند الضغط مرتين يفتحها في صفحتها لو فاتوره تتفتح في صفحتها و لو مرتجع و هكذا

٨- عايز لكل عميل اقدر اعمله خصم خاص يتطبق دايما تلقائي عند انشاء اي فاتورة بيع و كمان عايز اقدر احدلله السعر الي فاتراضي بتاعه عشان بردو لما اجي اعمل فاتوره يتحددله تلقائي",1000,Pending,🟡 Medium,2026-03-10,—,0,0
10,نقل الواتساب service بالكامل للسيرفر,,700,Review,🟡 Medium,2026-03-09,—,0,0
